SMILES,Density,id
*CC(*)(C)CCC,0.818195516,35673
*/C=C/CC*,0.883044552,35674
*/C=C\CC*,0.891055243,35675
*C=CCC*,0.884263619,35676
*C(C)C(*)C,0.8235685,35677
*/C=C/*,0.887086616,35678
*CCC(C)C(*)C,0.831701925,35679
*CCC1CCCC1*,0.906448376,35680
*C=CCCCCCCCC*,0.85471523,35681
*CC(*)CCCCCCCCCCCCCCCCCCCC,0.834006133,35682
*/C=C/CCCCCCCCCC*,0.853346172,35683
*CC(*)CCCCCCCCCCCCCC,0.832142984,35684
*C=CCCCCCC*,0.857672969,35685
*/C=C/CCC*,0.870773195,35686
*CC(*)C(C)(C)C,0.80536494,35687
*/C=C\CCCC*,0.868416895,35688
*CC(*)CCCCCCCCCCCCC,0.833225353,35689
*C(CC)C(*)CC,0.823310611,35690
*CC(*)CCCCCCCCCCC,0.833532988,35691
*CC(*)CCCCCCCCC,0.829999326,35692
*CC(*)C1CCCC(C)C1,0.860408044,35693
*CC(*)C1CCC(C)CC1,0.846306645,35694
*CC(*)C1CC=CCC1,0.894488285,35695
*CCC=C(*)CCCCCCC,0.850100168,35696
*CCC=C(*)C(C)C,0.8495405,35697
*/C=C\CCC*,0.876838662,35698
*CC(*)CCC(C)(C)C,0.816714682,35699
*C1CCC1*,0.894726143,35700
*/C=C\*,0.959011341,35701
*/C=C\CCCCC*,0.867588794,35702
*C=CC1CCC(*)C1,0.952823858,35703
*/C=C/C(C*)C(C)CC,0.850539749,35704
*CCC=C(*)CCC,0.866168537,35705
*C=CCCCCCCCCCC*,0.852224825,35706
*CC1(*)CCCCC1,0.878255967,35707
*C=CC(C)CCCCC*,0.848448936,35708
*CC/C=C(\*)C(C)(C)C,0.865138951,35709
*CC(*)c1ccccc1,0.990788525,35710
*CC(*)c1ccccc1C,0.978948821,35711
*CC(*)c1ccccc1CC,0.956120289,35712
*CC(*)c1ccccc1COC,1.023668496,35713
*CC(*)c1ccccc1COCC,1.020552204,35714
*CC(*)c1ccccc1COCCC,1.002033696,35715
*CC(*)c1ccccc1COC(C)C,0.985738485,35716
*CC(*)c1ccccc1COCCCC,0.987425981,35717
*CC(*)c1ccccc1COCCCCC,0.977922828,35718
*CC(*)c1ccccc1COCCC(C)C,0.981459783,35719
*CC(*)c1ccccc1COCc1ccccc1,1.087022171,35720
*CC(*)c1ccccc1COCCc1ccccc1,1.073511826,35721
*CC(*)c1ccccc1C(=O)NC,1.05618534,35722
*CC(*)c1ccccc1C(=O)N(C)C,1.019914094,35723
*CC(*)c1ccccc1C(=O)Nc1ccccc1,1.113471778,35724
